web,image,price,deal,title,shop,location
https://click.simba.taobao.com/cc_im?p=%B2%E8%D2%B6&s=1822230482&k=577&e=OOU%2BHlTeDLR564MjWtmGOz5uBScfp5figFk3i4ogPYMiw9kZOvOKrDSm9tDWHoqHcbqMEPQKZqyN48E%2FdDLPxyHOWKj38n1hpz1oYS4nL9jvpaDiaDMaR2EwkmriLqHRLf75Ia6dRJNIa66fmeJj5SFPUuy%2F07RoP2MKFOCbXVDx6%2BbZVv2cCc19JEGL4Mww1zTKQtRXwDFbZVQ2QMrVBQxDmRW8q%2FWZzPFT8AI0yJ9FGigwy9ZsXgBLD%2BdZEl%2FiGo%2FIpkyJhtb0TNTUIOjR%2FrtQP84zwl1jQd8zySjwDkmhvHADUSTRO%2BfHSNhj6t9hcpHfTK9wAGd1dVAvg6PLBeWNCOOypnaNtykFwVrbwIs%2FLdtFZifOF8bxjz8a0g0y5EvNPele%2FW9vwMTUUUIRkgHQHO5C9VCGi%2F3d5ZECZkDJ1iaZvIcH7PlZ87DfTR03cQ2v1CusQOHLb7LOcbZIyOPhcLRvfVlHDxUtdMB1pEKyAYWOAmlWDkAS8gvti6%2BLNl0fAC159%2FGvsh5QUamoTZD3ozKF5Ng%2F3Bjy1XKYhhS8%2BjDDyLk13e40j9kU4WdR,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/13373439/O1CN01fKQDHT1bH6gQf6uMM_!!0-saturn_solar.jpg,¥158.00,104人付款,天福茗茶 特级安溪铁观音 2020春茶 乌龙茶叶礼盒装 铁观音茶礼,天福茗茶,福建 厦门
//detail.tmall.com/item.htm?id=616174890852&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=12,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/725677994/O1CN01fIYn1y28vIkw61BRp_!!0-item_pic.jpg,¥88.00,440人付款,包邮艺福堂茶叶2020新茶浙香高山云雾毛尖日照正宗250g散装绿茶,天猫超市,上海
//detail.tmall.com/item.htm?id=614489362462&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=12,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/688187172/O1CN015EjiLj22qpAsHBc6f_!!0-item_pic.jpg,¥29.90,113人付款,八马茶叶 安溪铁观音清香型兰花香特级品鉴装75克,八马旗舰店,广东 深圳
//detail.tmall.com/item.htm?id=35466663421&ns=1&abbucket=12,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/404984946/O1CN017oVVmW1mPJYUHNyx6_!!0-item_pic.jpg,¥128.00,535人付款,武夷星茶业大红袍礼盒装400g武夷山大红袍武夷岩茶乌龙茶茶叶散装,武夷星旗舰店,福建 南平
//detail.tmall.com/item.htm?id=585310589478&ns=1&abbucket=12,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/404984946/O1CN0122F0O61mPJXYQ0dba_!!0-item_pic.jpg,¥260.00,21人付款,武夷星岩香大红袍茶叶礼盒装500g武夷岩茶乌龙茶武夷山大红袍散装,武夷星旗舰店,福建 南平
//detail.tmall.com/item.htm?id=578603018944&ns=1&abbucket=12,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/684357635/O1CN01hWlVLP26GsVXWbfTR_!!0-item_pic.jpg,¥168.00,539人付款,特级武夷岩茶组合/1000g大红袍水仙肉桂奇兰茶叶小泡袋散装礼盒装,天心华富旗舰店,福建 南平
//detail.tmall.com/item.htm?id=602801735547&ns=1&abbucket=12,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2206515630139/O1CN01jr30Qt1CthesTN7eo_!!2206515630139.jpg,¥198.00,242人付款,武夷岩茶2020新茶武夷山大红袍茶叶特级正宗小包装袋装礼盒装500g,岩友会旗舰店,福建 南平
//detail.tmall.com/item.htm?id=41715558591&ns=1&abbucket=12,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/1895455201/O1CN01ly3BbV1oI6YBnHxVj_!!0-item_pic.jpg,¥98.00,68人付款,曦瓜贺岁大红袍256g武夷山大红袍茶叶礼盒装浓香武夷岩茶送礼,曦瓜旗舰店,福建 南平
//detail.tmall.com/item.htm?id=570840211886&ns=1&abbucket=12,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/2452562325/O1CN01r5CTdG1T2tRwZYq5R_!!0-item_pic.jpg,¥368.00,3224人付款,2020新茶金骏眉红茶特级茶叶正宗浓香型金俊眉散装500克罐装送礼,闽丹茶叶旗舰店,福建 泉州
//detail.tmall.com/item.htm?id=21535943979&ns=1&abbucket=12,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/1730425717/O1CN01Dp1yyd1s6Qmf0GpP0_!!0-item_pic.jpg,¥350.00,3225人付款,宾之香特级铁观音2020新茶安溪春茶浓香型茶叶兰花香罐装礼盒500g,宾之香旗舰店,福建 厦门
//detail.tmall.com/item.htm?id=612536270950&ns=1&abbucket=12,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/1088706868/O1CN01SD4aRa20banBV2dhh_!!0-item_pic.jpg,¥268.00,2876人付款,御兴 2020新茶正宗明前浓香龙井茶叶500g西湖区绿茶高山龙井春茶,御兴旗舰店,福建 泉州
//detail.tmall.com/item.htm?id=528850389297&ns=1&abbucket=12,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/2345675018/O1CN01Qn6Kc11mwI3tyezIq_!!0-item_pic.jpg,¥228.00,6000+人付款,2020春茶特级高山铁观音新茶安溪铁观音茶叶清香型500g礼盒装,万荣鑫旗舰店,福建 泉州
//detail.tmall.com/item.htm?id=521289426488&ns=1&abbucket=12,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/2452562325/O1CN01r8sGxf1T2tRzQ8Ken_!!0-item_pic.jpg,¥368.00,3228人付款,2020新茶春茶特级浓香型安溪铁观音茶叶兰花香乌龙茶礼盒装500克,闽丹茶叶旗舰店,福建 泉州
//detail.tmall.com/item.htm?id=599934211050&ns=1&abbucket=12,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2206219137491/O1CN01ilR5Uv25CvX3ZTTcJ_!!0-item_pic.jpg,¥220.00,2833人付款,2020新茶铁观音茶叶礼盒装安溪铁观音特级浓香型小包装共500g,尊和轩旗舰店,福建 泉州
//detail.tmall.com/item.htm?id=576439791355&ns=1&abbucket=12,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/3448956079/O1CN01Iqh7jw1umEFrzZqwM_!!0-item_pic.jpg,¥328.00,3507人付款,佰儒 2020特级新茶安溪铁观音茶叶 春茶正味清香型 兰花香500g,佰儒旗舰店,福建 厦门
